ID,Road,Latitude,Longitude,X2
I188,A6,40.5732511,-3.9258528,2
I189,A6,40.6456541,-4.0497045,2
I190,A6,40.6578041,-4.0951519,3
I191,A6,40.7391531,-4.2289834,0
I192,A6,40.769184,-4.3846278,2
I193,A6,40.7908368,-4.4498594,0
I194,A6,40.8984577,-4.5741422,1
I195,A6,40.9352054,-4.5856616,2
I196,A6,40.9502467,-4.6072909,1
I197,A6,41.0028321,-4.6600124,2
I198,A6,41.1180783,-4.7653544,3
I199,A6,41.1805919,-4.8073471,1
I200,A6,41.3740229,-4.9619067,3
I201,A6,41.4728627,-4.9893725,0
I202,A6,41.6310975,-5.1856673,1
I203,A6,41.8840998,-5.4594886,2
I204,A6,41.9851426,-5.6297124,1
I205,A6,42.0221047,-5.6694917,1
I206,A6,42.1037161,-5.721312,2
I207,A6,42.2811783,-5.8854992,2
I208,A6,42.3917176,-5.9995467,2
I209,A6,42.623483,-6.2996271,1
I210,A6,42.5625867,-6.5694358,1
I211,A6,42.7406698,-7.0486299,3
I212,A6,42.7688724,-7.088391,2
I213,A6,42.8601826,-7.1316925,0
I214,A6,42.9856181,-7.5020093,3
I215,A6,43.0106337,-7.5169652,1
I216,A6,43.0361724,-7.5215142,3
I217,A6,43.0940344,-7.5906508,1
I218,A6,43.1531724,-7.6755375,1
I219,A6,43.1736912,-7.782976,0
I220,A6,43.185677,-7.8323538,1
I221,A6,43.1880082,-7.9222828,3
I222,A6,43.190308,-7.9737169,3
I223,A6,43.2191495,-8.0533893,1
I224,A6,43.2433196,-8.1722218,2
