ID,Road,Latitude,Longitude,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
I188,A6,40.5732511,-3.9258528,0,2,3,2,1,1,0,0,3,3,3,0,0,1,2,0,3,2,3,3,0,1,2,3,0,1,3,1,1,0,0,2,0,1,2,1,0,2,3,2,2,1,2,0,2,2,3,2,2,1,3,3,3,3,3,3,2,2,0,1,0,1,3,0,2,1,3,0,1,2,0,0,3,2,1,0,1,0,0,1,0,2,3,3,3,3,1,3,2,1,0,3,2,2,3,1,3,1,2,2
I189,A6,40.6456541,-4.0497045,0,2,0,0,2,0,3,3,0,1,3,2,1,1,0,1,2,3,0,0,1,3,2,2,1,0,3,3,3,2,2,0,2,3,3,0,1,2,1,3,1,3,3,2,1,0,0,1,3,2,0,2,2,2,2,3,2,0,2,1,0,1,1,1,3,2,3,0,3,3,2,1,0,3,2,0,3,3,3,2,2,2,3,1,0,1,2,0,2,1,0,0,1,2,2,2,1,1,2,2
I190,A6,40.6578041,-4.0951519,0,3,2,2,2,3,0,3,2,3,2,3,3,2,2,2,2,2,0,3,1,1,0,0,1,0,1,1,3,3,0,2,3,3,3,1,1,1,1,2,1,2,1,1,2,2,0,3,0,1,0,2,1,2,3,1,2,1,2,3,3,0,0,3,3,3,1,3,1,1,3,2,3,1,1,2,3,2,1,0,2,2,3,3,3,2,2,0,2,3,3,3,0,3,2,2,0,1,0,2
I191,A6,40.7391531,-4.2289834,0,0,0,3,1,1,1,0,3,0,1,0,0,1,0,0,0,2,2,2,1,3,1,2,2,3,1,3,0,1,1,2,2,2,3,2,1,1,3,1,2,3,2,2,0,1,0,2,1,2,1,1,1,2,3,1,1,2,1,3,2,2,1,0,0,1,1,2,3,0,1,2,2,1,3,0,1,1,0,3,1,0,2,3,3,3,2,2,2,1,2,1,0,3,0,0,2,1,2,2
I192,A6,40.769184,-4.3846278,1,2,2,0,2,2,1,0,0,0,0,2,3,1,2,2,3,2,1,1,0,1,2,3,0,3,1,2,0,0,1,3,0,3,3,2,1,0,0,2,2,2,3,0,2,2,0,3,3,1,1,2,3,2,1,3,1,0,2,1,0,0,3,1,3,1,3,1,0,3,2,1,2,0,0,2,0,0,2,0,2,2,3,2,3,1,2,1,1,0,1,3,1,2,0,1,1,3,1,3
I193,A6,40.7908368,-4.4498594,1,0,0,0,0,2,3,3,1,0,2,3,0,3,2,1,2,3,1,0,0,3,0,3,2,2,0,0,1,1,3,0,0,0,0,1,0,3,1,2,2,1,1,2,1,1,1,1,3,1,2,2,3,2,2,3,2,0,2,1,1,2,1,2,2,1,1,0,1,0,0,3,2,2,2,1,3,2,2,0,2,3,1,2,3,0,2,1,2,3,0,3,2,2,0,2,0,0,3,2
I194,A6,40.8984577,-4.5741422,1,1,3,2,0,1,2,0,2,0,2,2,0,0,2,3,2,2,0,3,3,2,1,3,2,0,2,2,3,3,1,1,2,2,3,2,3,0,3,3,2,3,3,3,1,0,3,3,3,0,2,1,0,0,3,3,1,1,2,1,1,0,0,0,3,0,1,2,1,3,3,1,1,1,1,0,1,0,0,0,3,1,0,3,2,1,0,0,2,0,1,0,3,3,0,1,1,0,2,1
I195,A6,40.9352054,-4.5856616,0,2,2,2,2,2,2,2,0,2,1,1,1,1,1,0,2,2,0,1,2,2,0,2,2,0,0,3,0,1,1,0,3,1,3,2,3,3,1,3,0,1,1,2,3,0,1,3,1,0,2,3,1,2,1,0,3,1,1,1,0,1,2,2,0,0,3,0,1,0,2,1,1,1,0,2,1,2,1,0,2,3,3,0,2,2,2,3,3,1,1,3,0,0,2,0,3,3,1,2
I196,A6,40.9502467,-4.6072909,1,1,2,2,2,3,1,1,0,2,2,3,3,2,1,1,3,1,0,2,1,3,0,0,2,3,0,1,3,1,0,1,3,3,2,3,1,0,2,0,0,3,0,2,0,3,2,1,2,1,3,1,2,2,0,2,3,1,3,2,1,0,3,1,1,3,0,0,0,0,0,0,0,0,0,3,2,0,3,2,2,1,2,2,3,0,1,2,2,1,0,2,0,2,2,1,2,3,1,3
I197,A6,41.0028321,-4.6600124,3,2,2,2,0,0,3,1,2,0,0,0,1,0,1,0,1,2,0,3,2,1,3,1,0,3,1,1,2,2,3,0,3,3,0,2,3,3,1,2,3,3,2,2,3,1,3,0,2,2,0,1,2,3,3,1,1,2,1,2,2,1,3,2,3,1,3,1,3,0,1,1,1,3,3,3,1,2,1,1,3,2,0,0,1,3,1,2,3,3,0,2,0,1,3,1,2,3,0,1
I198,A6,41.1180783,-4.7653544,1,3,3,2,3,3,3,2,1,0,2,2,1,2,3,0,2,1,3,0,3,0,2,1,3,1,1,2,3,1,3,0,2,3,1,1,3,0,3,0,0,3,2,1,0,1,2,0,0,3,3,3,1,2,0,0,3,0,2,2,2,3,3,3,2,2,3,2,3,1,3,2,2,0,2,3,1,3,0,0,1,0,3,1,3,0,2,2,3,3,0,3,2,0,2,2,0,3,3,2
I199,A6,41.1805919,-4.8073471,3,1,2,2,0,3,2,3,0,2,2,2,3,1,2,3,2,1,3,0,3,1,0,3,2,2,3,1,2,2,2,0,3,2,2,3,2,3,3,1,3,0,2,0,3,3,1,2,2,2,2,3,2,1,3,3,0,3,0,0,1,0,2,1,0,2,3,1,1,0,3,3,0,1,1,2,1,1,2,0,0,0,1,0,1,1,2,3,0,1,2,2,3,0,3,2,2,1,2,3
I200,A6,41.3740229,-4.9619067,3,3,0,0,0,2,2,1,0,3,1,0,1,3,0,3,2,1,3,3,3,0,3,0,2,3,3,3,0,1,0,1,3,2,0,3,0,0,1,2,3,0,1,2,3,1,1,0,3,1,0,2,2,0,2,1,0,1,0,2,2,1,1,2,0,2,0,0,2,0,1,3,3,1,1,2,1,0,1,3,2,3,0,1,1,2,1,2,0,2,0,3,3,0,3,3,3,0,2,2
I201,A6,41.4728627,-4.9893725,2,0,0,1,1,0,0,1,2,2,1,0,0,3,1,0,1,1,0,3,1,1,3,2,2,3,0,1,3,0,3,3,0,1,0,0,0,2,0,1,3,1,1,2,1,1,2,3,2,2,0,2,3,3,2,0,2,1,2,1,3,1,0,0,0,0,3,1,0,3,3,2,0,0,0,3,3,3,1,1,0,3,0,2,3,2,0,2,1,2,1,0,2,2,1,2,3,0,3,2
I202,A6,41.6310975,-5.1856673,0,1,0,0,3,3,0,0,3,3,0,2,3,1,1,0,3,0,2,3,1,3,1,2,0,1,3,0,0,3,3,1,1,1,2,2,2,1,3,0,1,1,3,1,1,3,2,0,0,2,3,0,2,3,3,3,0,0,3,0,2,3,1,1,3,3,1,2,0,0,0,1,1,2,3,3,0,2,2,3,2,2,1,3,2,1,2,3,0,3,3,0,2,0,3,3,1,1,3,3
I203,A6,41.8840998,-5.4594886,1,2,1,3,3,3,3,2,1,3,2,3,2,1,2,2,3,3,1,0,2,0,0,0,2,2,3,1,3,1,0,1,0,3,2,3,0,3,0,3,3,0,3,3,1,0,3,0,0,0,3,1,1,0,3,0,0,0,1,2,2,1,1,0,2,1,0,0,1,1,3,2,0,1,1,3,1,2,0,3,2,0,1,3,2,1,0,3,1,2,3,1,2,3,0,2,3,0,3,1
