ID,IMD,% LV,Road,Latitude,Longitude
I1,63478,92,A1,40.6570397,-3.601791
I2,38339,90,A1,40.7197046,-3.5775117
I3,29978,85,A1,40.8008767,-3.6159265
I4,23879,84,A1,40.9976689,-3.6412227
I5,23257,84,A1,41.0770016,-3.6032985
I6,17906,81,A1,41.170546,-3.5794161
I7,21039,80,A1,41.194451,-3.5841046
I8,21571,81,A1,41.2222897,-3.5875753
I9,17828,80,A1,41.4561339,-3.6752812
I10,16058,77,A1,41.6403078,-3.7061803
I11,17349,79,A1,41.6593237,-3.7264846
I12,19604,81,A1,41.9964672,-3.7608186
I13,19494,78,A1,42.01026,-3.7535659
I14,21234,80,A1,42.0384658,-3.7547944
I15,23877,78,A1,42.2002818,-3.6961022
I16,28761,84,A1,42.2820195,-3.7062347
I17,33184,70,A1,42.3295004,-3.6513782
I18,17983,86,A1,42.379793,-3.5834535
I19,19962,86,A1,42.4753629,-3.4359803
I20,19653,86,A1,42.590139,-3.2337271
I21,17985,85,A1,42.6566281,-3.0500933
I22,23451,73,A1,42.6876275,-2.9968344
I23,43832,78,A1,42.832489,-2.7553856
I24,23702,78,A1,42.8692875,-2.4815178
I25,15412,61,A1,42.9124809,-2.1795493
I26,15952,95,A1,42.9666755,-2.237131
I27,45289,83,A1,43.1875037,-2.0515452
I28,37427,89,A1,43.3189116,-1.8343901
I29,83160,84,A2,40.5610813,-3.2560911
I30,75195,83,A2,40.6246765,-3.1940946
I31,48965,87,A2,40.6271627,-3.1494556
I32,29308,73,A2,40.7469481,-3.031575
I33,24613,70,A2,40.8043204,-2.9493169
I34,22747,69,A2,40.8635256,-2.830125
I35,22831,70,A2,40.8958556,-2.7621309
I36,19490,66,A2,40.9735356,-2.6176243
I37,19018,65,A2,41.034471,-2.4854771
I38,16641,62,A2,41.1423985,-2.431793
I39,11505,56,A2,41.2013129,-2.3800375
I40,11892,56,A2,41.2521087,-2.2062733
I41,14962,69,A2,41.3181331,-1.8035175
I42,16040,69,A2,41.3327646,-1.6519781
I43,19969,73,A2,41.374321,-1.5730139
I44,20264,74,A2,41.4419946,-1.4808371
I45,21498,74,A2,41.4788193,-1.4029082
I46,22894,74,A2,41.4942666,-1.3432398
I47,24655,77,A2,41.5474842,-1.2160333
I48,35419,82,A2,41.6146524,-1.062096
I49,60577,82,A2,41.6560977,-0.9550304
I50,28799,67,A2,41.6352115,-0.7449006
I51,11036,56,A2,41.5786916,-0.6618541
I52,16203,78,A2,41.5407214,-0.5643712
I53,15678,78,A2,41.5260964,-0.3595791
I54,14173,79,A2,41.5163206,-0.1362906
I55,14173,79,A2,41.5223453,0.0483205
I56,8440,84,A2,41.5416529,0.5030071
I57,9216,87,A2,41.5426294,0.6940778
I58,9457,88,A2,41.5082433,0.7554038
I59,9448,88,A2,41.4419416,0.9196194
I60,9448,88,A2,41.3986394,1.1574034
I61,8308,85,A2,41.3900919,1.2149851
I62,8501,84,A2,41.3468855,1.319056
I63,10900,81,A2,41.2839262,1.4943115
I64,19709,58,A2,41.5379606,0.4477917
I65,30880,69,A2,41.6564281,0.5798823
I66,26764,67,A2,41.6643234,0.6285698
I67,37324,75,A2,41.6375237,0.765856
I68,37399,72,A2,41.6395763,0.8743459
I69,33339,69,A2,41.639881,0.955124
I70,35971,69,A2,41.6367378,1.023016
I71,34825,71,A2,41.6672709,1.295302
I72,28786,66,A2,41.6467502,1.3213946
I73,29991,74,A2,41.6357497,1.3383247
I74,27457,72,A2,41.6221167,1.4470507
I75,43382,78,A2,41.5950859,1.7209286
I76,43547,75,A2,41.5732741,1.7861384
I77,46139,77,A2,41.5472313,1.8514985
I78,112901,87,A2,41.5005788,1.9101424
I79,10400,94,A3,40.3137864,-3.4967511
I80,56036,92,A3,40.2738519,-3.4504025
I81,42422,90,A3,40.2598365,-3.3585637
I82,32412,87,A3,40.1526605,-3.2478421
I83,28551,87,A3,40.1220006,-3.157398
I84,30019,86,A3,40.0292366,-3.0376378
I85,26600,83,A3,39.92948,-2.8427592
I86,24674,84,A3,39.7866247,-2.4266526
I87,24364,81,A3,39.6546121,-2.3609063
I88,18624,73,A3,39.4919488,-2.0026346
I89,18040,72,A3,39.5180382,-1.7588975
I90,19115,69,A3,39.5437899,-1.5189609
I91,20445,67,A3,39.5407575,-1.3110682
I92,30216,77,A3,39.5490691,-1.1864414
I93,25702,82,A3,39.5004699,-1.0939614
I94,28645,76,A3,39.4537082,-0.8642425
I95,30431,74,A3,39.4320335,-0.7921794
I96,122622,85,A4,40.2718883,-3.6906584
I97,41175,78,A4,40.0767396,-3.6397715
I98,44020,79,A4,39.9769208,-3.5656995
I99,32610,83,A4,39.9124755,-3.4763595
I100,28928,82,A4,39.8260576,-3.4846556
I101,27431,81,A4,39.7328203,-3.4905565
I102,22295,77,A4,39.6645356,-3.5119069
