ID_IMD,Road,TypeOfEstacion,IDs_Estaciones
I1,A1,1,P29RP30R
I107,A4,1,P20R
I11,A1,1,P15R
I111,A4,1,P19R
I16,A1,1,P17R
I17,A1,1,P16R
I188,A6,1,P31R
I191,A6,1,P49R
I198,A6,1,P4R
I201,A6,1,P57RP58R
I211,A6,1,P26R
I22,A1,1,P18R
I23,A1,1,P60R
I24,A1,1,P28RP51R
I25,A1,3,P27RP37RP39RP40RP41RP42R
I26,A1,1,P52R
I273,A7,1,P24R
I276,A7,1,P64R
I277,A7,1,P34R
I278,A7,1,P36R
I28,A1,2,P38RP53RP54R
I280,A7,1,P33R
I281,A7,1,P35R
I288,A7,1,P5R
I289,A7,1,P2R
I290,A7,1,P1RP3R
I300,A7,1,P59R
I31,A2,1,P25R
I320,A7,1,P14R
I321,A7,1,P6R
I347,A8,1,P55R
I355,A8,3,P8RP9RP10RP11RP12R
I356,A8,1,P50R
I360,A66,1,P7R
I369,A66,1,P48R
I370,A66,1,P47R
I373,A66,1,P62R
I381,A67,1,P46R
I41,A2,1,P63R
I47,A2,2,P43RP44RP45R
I76,A2,1,P13R
I79,A3,1,P32R
I84,A3,1,P23R
I86,A3,1,P22R
I87,A3,1,P21R
I96,A4,1,P61R
I98,A4,1,P56R
